id,member_id,loan_amnt,funded_amnt,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,loan_is_bad
3236716,3979105,20500,20500,650.95,A,A5,Fountainhead Montessori,4.0,RENT,47000.0,debt_consolidation,Debt consolidation,946xx,CA,21.76,0,Oct-1997,0,,,12,0,44186,43.3%,18,f,0,,INDIVIDUAL,0,0.0,44186.0,False
3296332,4068718,26500,26500,697.97,D,D5,Western Municipal Water District,6.0,MORTGAGE,78000.0,debt_consolidation,Debt Consolidation,925xx,CA,13.46,0,Oct-1997,1,45.0,,12,0,17042,68.7%,36,f,0,66.0,INDIVIDUAL,0,0.0,215984.0,False
3296312,4068693,13575,13575,479.21,C,C4,"L-3 Communications Corporation, GCS Div",2.0,OWN,76210.0,credit_card,CCloan,145xx,NY,31.07,0,Jan-1984,0,,,9,0,45733,94.5%,16,f,0,,INDIVIDUAL,0,0.0,53057.0,False
3152380,3865005,21000,21000,434.91,A,A5,Kaiser Permanente,10.0,MORTGAGE,98000.0,debt_consolidation,debt consolidation,923xx,CA,15.75,0,Feb-1996,1,,,17,0,16770,34.1%,24,w,0,,INDIVIDUAL,0,0.0,397765.0,False
3148018,3860397,13350,13350,458.42,C,C1,Calvary Chapel Christian School,10.0,RENT,50000.0,credit_card,Paying off high interest rate cards ,902xx,CA,25.63,0,Apr-1998,0,27.0,,10,0,6035,48.3%,50,w,0,58.0,INDIVIDUAL,0,0.0,172981.0,False
3296287,4068665,16000,16000,539.96,B,B4,quickway,1.0,OWN,45000.0,debt_consolidation,consolidation,307xx,GA,18.72,0,Jul-2005,0,,,7,0,20591,71.5%,17,f,0,,INDIVIDUAL,0,0.0,20591.0,False
3197143,3930005,21000,21000,688.91,B,B2,MasterCard Worldwide,2.0,RENT,150000.0,debt_consolidation,Consolidate 2013,230xx,VA,11.36,0,Jul-1989,0,59.0,,8,0,25996,67.7%,31,f,0,59.0,INDIVIDUAL,0,0.0,63155.0,False
3146504,3858794,35000,35000,956.55,E,E3,Greenberg Traurig,8.0,RENT,90000.0,debt_consolidation,Personal Debt Consolidation,303xx,GA,15.08,0,Apr-2000,0,,,9,0,13130,71%,21,f,0,,INDIVIDUAL,0,0.0,29385.0,False
3285844,4058164,15675,15675,580.31,D,D5,state of colorado,5.0,RENT,65000.0,debt_consolidation,debt consolidation,805xx,CO,14.64,1,Dec-1999,2,17.0,,8,0,6648,58.3%,22,f,0,66.0,INDIVIDUAL,0,0.0,72918.0,False
3285884,4058206,3000,3000,97.03,B,B1,First Baptist Church Atlanta,5.0,MORTGAGE,42000.0,debt_consolidation,Payoff Loan,301xx,GA,23.69,0,Jun-1999,1,,,18,0,18913,25%,35,f,0,,INDIVIDUAL,0,0.0,189456.0,False
3286252,4058650,2500,2500,87.65,C,C3,dhl global forwarding,10.0,MORTGAGE,45000.0,medical,Medical expenses,601xx,IL,27.2,0,Jul-1997,0,,,10,0,29162,43.4%,18,w,0,,INDIVIDUAL,0,0.0,134622.0,False
3296259,4068629,21900,21900,666.54,A,A1,Essentia Health,1.0,MORTGAGE,80000.0,debt_consolidation,Lower rate ,556xx,MN,17.13,0,Nov-1995,1,,,16,0,17186,22%,37,f,0,,INDIVIDUAL,0,0.0,179309.0,False
1034319,1263915,10800,10800,354.3,B,B2,Merced County,5.0,RENT,57000.0,debt_consolidation,Consolidated Loan,953xx,CA,18.32,0,May-1997,0,30.0,,9,0,21924,51.7%,18,w,0,30.0,INDIVIDUAL,0,0.0,33749.0,False
3240209,3983059,12000,12000,429.45,C,C5,Renovo Solutions LLC,3.0,MORTGAGE,75000.0,debt_consolidation,Debt consolidation,917xx,CA,12.61,0,Nov-2000,2,29.0,,12,0,10712,75.4%,28,f,0,,INDIVIDUAL,0,0.0,275639.0,False
3296234,4068599,18000,18000,582.17,B,B1,Sutter Solano Medical Center,5.0,MORTGAGE,116000.0,debt_consolidation,Debt Consolidation Loan,945xx,CA,10.47,0,Aug-2006,1,,,10,0,16061,80.4%,15,f,0,,INDIVIDUAL,0,508.0,371472.0,False
3296245,4068611,3000,3000,110.05,D,D4,Stanford University,1.0,RENT,53000.0,other,Other,940xx,CA,10.19,1,Jul-2002,1,16.0,,6,0,339,21.2%,16,f,0,75.0,INDIVIDUAL,0,281.0,44382.0,False
3286227,4058615,28000,28000,974.89,C,C2,Advance Micro Devices,10.0,MORTGAGE,100000.0,credit_card,Credit card refinancing,787xx,TX,21.85,3,Jul-1997,2,17.0,,13,0,19829,70.6%,32,w,0,,INDIVIDUAL,0,0.0,273347.0,False
3296228,4068593,21350,21350,522.49,C,C4,Align Communications Inc.,8.0,RENT,74500.0,credit_card,Credit Consolidation,104xx,NY,6.97,0,May-2001,0,,,8,0,17488,62.5%,16,f,0,,INDIVIDUAL,0,0.0,17488.0,False
3286231,4058621,18000,18000,598.89,B,B3,BANK OF AMERICA,4.0,MORTGAGE,82000.0,credit_card,Pay down Credit card debt,852xx,AZ,25.38,0,Nov-1998,1,,,27,0,25336,65%,38,w,0,,INDIVIDUAL,0,0.0,223123.0,False
3296238,4068602,18000,18000,560.91,A,A3,Ogilvy Action,2.0,MORTGAGE,95000.0,debt_consolidation,Debt Consolidation,727xx,AR,16.88,1,Mar-1999,1,13.0,,11,0,12140,28.5%,28,f,0,13.0,INDIVIDUAL,0,0.0,198226.0,False
3186621,3919497,20675,20675,707.53,B,B5,Hattenhauer Distributin,5.0,RENT,46000.0,debt_consolidation,consolidation,970xx,OR,25.02,0,May-1983,1,,,13,0,21364,57%,23,f,0,,INDIVIDUAL,0,0.0,26631.0,False
3286224,4058612,24375,24375,596.52,C,C4,Flextronics,10.0,MORTGAGE,60000.0,debt_consolidation,Debt consolidation,765xx,TX,27.66,0,Apr-1996,1,,,9,0,21490,82.3%,16,f,0,,INDIVIDUAL,0,0.0,110987.0,True
3286225,4058613,16750,16750,478.28,F,F3,philadelphia water dept,5.0,MORTGAGE,38000.0,debt_consolidation,debt consolidation,191xx,PA,13.44,0,Dec-1998,2,55.0,,18,0,6850,56.6%,30,f,0,55.0,INDIVIDUAL,0,0.0,148145.0,False
3296218,4068580,18000,18000,547.84,A,A1,Blue Cross and Blue Shield Association,10.0,MORTGAGE,120000.0,debt_consolidation,Debt Elimination,220xx,VA,20.18,0,Aug-1989,0,,,13,0,43930,70.4%,16,w,0,,INDIVIDUAL,0,0.0,470904.0,False
3255256,4027488,24000,24000,497.04,A,A5,JewelFood Stores,10.0,MORTGAGE,125000.0,credit_card,Credit card refinancing,605xx,IL,32.03,0,Mar-1994,0,,,25,0,203321,35%,53,w,0,,INDIVIDUAL,0,0.0,395439.0,False
3147146,3859476,28000,28000,610.75,B,B2,Ernst & Young LLP,7.0,RENT,78000.0,credit_card,Credit Card Refinance Loan,303xx,GA,17.68,0,Dec-1992,0,,,8,0,644,2.8%,12,f,0,,INDIVIDUAL,0,0.0,38111.0,False
3286205,4058590,14400,14400,465.73,B,B1,Bank of America,10.0,MORTGAGE,58000.0,debt_consolidation,Thank You!,750xx,TX,13.5,0,Oct-1985,1,,,10,0,22449,60.3%,22,f,0,,INDIVIDUAL,0,0.0,151665.0,False
3296223,4068585,23450,23450,720.01,A,A2,Chilis,2.0,MORTGAGE,55000.0,credit_card,Debt Free,275xx,NC,7.09,0,Oct-2000,0,,,10,0,9641,27.9%,23,f,0,,INDIVIDUAL,0,0.0,225440.0,False
3296216,4068578,4000,4000,129.37,B,B1,Jabil,10.0,MORTGAGE,90000.0,debt_consolidation,Personal1,402xx,KY,12.48,0,Sep-1998,0,,,9,0,18072,80%,21,f,0,,INDIVIDUAL,0,0.0,157067.0,False
3286196,4058578,20000,20000,484.24,C,C3,Orrells Foodservice,6.0,MORTGAGE,55000.0,credit_card,Credit Consolidation,272xx,NC,22.65,0,Oct-2002,1,,,7,0,17681,69.1%,27,f,0,,INDIVIDUAL,0,0.0,186049.0,False
3296215,4068577,16800,16800,558.97,B,B3,Gordon State College,10.0,RENT,52000.0,credit_card,Refinance,302xx,GA,22.74,0,Oct-1989,0,42.0,,6,0,22755,83.7%,17,f,0,49.0,INDIVIDUAL,0,0.0,26895.0,False
3296197,4068555,20000,20000,635.07,A,A5,Gastroenterology Group of New Jersey,1.0,RENT,200000.0,debt_consolidation,Consolidation Loan,100xx,NY,10.22,0,May-1998,0,36.0,,12,0,15338,42%,32,f,0,,INDIVIDUAL,0,0.0,329705.0,False
3296200,4068558,20000,20000,656.11,B,B2,Kemps LLC,2.0,MORTGAGE,50000.0,credit_card,Credit card refinancing,559xx,MN,26.02,0,Jul-1993,0,,,9,0,27995,67.5%,17,w,0,,INDIVIDUAL,0,0.0,58414.0,False
3296194,4068551,11900,11900,384.88,B,B1,Saint Marys Hospital,10.0,MORTGAGE,35300.0,credit_card,life lesson,067xx,CT,16.43,0,Jun-1995,0,,,12,0,16354,50.9%,26,f,0,,INDIVIDUAL,0,0.0,134572.0,False
3286159,4058541,30000,30000,790.15,D,D5,rallye motors,10.0,MORTGAGE,127000.0,debt_consolidation,Debt consolidation,110xx,NY,24.85,0,Jan-1999,1,,,15,0,59678,96.7%,42,f,0,,INDIVIDUAL,0,0.0,266430.0,True
2367182,2829567,24000,24000,497.04,A,A5,next era energy,5.0,MORTGAGE,110000.0,debt_consolidation,credit card debt reduction,751xx,TX,12.65,0,Dec-2001,2,,,12,0,27327,26.9%,23,f,0,,INDIVIDUAL,0,0.0,200722.0,False
3296181,4068536,16000,16000,486.97,A,A1,San Francisco Unified School District,10.0,MORTGAGE,140000.0,debt_consolidation,Credit Card Payoff,947xx,CA,2.33,2,Feb-1994,0,12.0,,14,0,9214,13.8%,46,f,0,,INDIVIDUAL,0,0.0,400630.0,False
3286083,4058444,35000,35000,1235.52,C,C4,Nola Lending Group,2.0,RENT,125000.0,debt_consolidation,Loan,707xx,LA,21.98,0,Jul-1993,3,,,12,0,26766,64.7%,33,w,0,,INDIVIDUAL,0,0.0,60705.0,False
3294662,4066832,21350,21350,522.49,C,C4,,,MORTGAGE,48000.0,debt_consolidation,Debt consolidation,405xx,KY,25.38,1,Aug-1974,0,6.0,,20,0,28171,46.6%,38,f,0,,INDIVIDUAL,0,0.0,152540.0,False
3286084,4058445,35000,35000,1201.84,C,C1,Oregon Health and Science University,10.0,MORTGAGE,95000.0,debt_consolidation,Free At Last,986xx,WA,12.92,0,Feb-1998,0,,,9,0,28707,93.8%,32,f,0,,INDIVIDUAL,0,0.0,259194.0,False
3286160,4058537,6625,6625,233.87,C,C4,Wells fargo Dealer Services,4.0,MORTGAGE,33000.0,debt_consolidation,Credit card consolidation,285xx,NC,24.04,0,Nov-1997,1,43.0,65.0,16,1,8324,35.1%,44,w,0,43.0,INDIVIDUAL,0,0.0,150375.0,True
3237324,3979813,21000,21000,666.82,A,A5,CIDC,1.0,RENT,130000.0,credit_card,credit card consolidation opportunity,017xx,MA,4.88,0,Aug-2000,0,,,4,0,18757,85.9%,14,f,0,,INDIVIDUAL,0,0.0,37735.0,False
3218645,3961330,18000,18000,383.87,B,B1,Georgia Pacific,5.0,RENT,80000.0,debt_consolidation,Pay Off Credit Cards,321xx,FL,16.13,0,Mar-2000,0,,,7,0,17208,67%,10,w,0,,INDIVIDUAL,0,0.0,35106.0,False
3286140,4058515,5000,5000,178.94,C,C5,Joon Cha,2.0,RENT,40000.0,credit_card,credit off,900xx,CA,27.66,0,Jun-2000,2,,,9,0,27342,57.6%,17,f,0,,INDIVIDUAL,0,0.0,41047.0,True
3286152,4058532,8000,8000,280.47,C,C3,Wakefern Food Corp,2.0,RENT,55000.0,debt_consolidation,Credit Card Payoff Loan,070xx,NJ,12.19,1,Jan-1990,3,5.0,,20,0,8038,19.1%,30,f,0,5.0,INDIVIDUAL,0,0.0,38894.0,False
3296162,4068510,15000,15000,499.08,B,B3,Stellar Inc,6.0,MORTGAGE,88000.0,debt_consolidation,Debt consolidation,335xx,FL,20.32,0,Nov-1998,0,,90.0,8,1,12034,91.2%,15,f,0,,INDIVIDUAL,0,0.0,37566.0,False
3237621,3980157,22000,22000,455.62,A,A5,Umpqua Bank,8.0,MORTGAGE,95000.0,debt_consolidation,2013,970xx,OR,16.72,0,Apr-1994,1,,,12,0,36056,49%,20,w,0,,INDIVIDUAL,0,0.0,254046.0,False
3286048,4058403,10000,10000,365.3,D,D3,St Joseph Medical Center,7.0,RENT,72000.0,debt_consolidation,Debt reduction,197xx,DE,18.03,0,May-2000,3,42.0,,9,0,5342,47.4%,24,f,0,53.0,INDIVIDUAL,0,0.0,44991.0,False
3295232,4067456,8000,8000,286.3,C,C5,Horace Mann Insurance Co.,10.0,RENT,46000.0,debt_consolidation,Debt consolidation loan ,627xx,IL,29.63,0,Jul-1991,5,,,8,0,32119,81.5%,32,w,0,,INDIVIDUAL,0,0.0,36934.0,False
3286074,4058432,12000,12000,432.45,D,D1,Stella Orton Home Care,5.0,RENT,48000.0,other,Relief,103xx,NY,8.8,0,Apr-2003,0,,,10,0,10785,42.6%,14,f,0,,INDIVIDUAL,0,0.0,10785.0,False
3296140,4068488,25000,25000,894.69,C,C5,California Department of Corrections,5.0,OWN,60000.0,debt_consolidation,Debt consolidation,953xx,CA,28.08,1,Dec-1996,0,12.0,,7,0,19771,85.6%,15,f,0,,INDIVIDUAL,0,0.0,36451.0,False
3198696,3931666,24000,24000,574.88,C,C2,ADM Milling,10.0,MORTGAGE,89000.0,credit_card,Credit card refinancing,551xx,MN,11.24,0,Nov-2001,3,,,10,0,29601,63.5%,33,f,0,,INDIVIDUAL,0,0.0,245953.0,False
3296131,4068478,15200,15200,532.89,C,C3,Florida Hospital Zephyrhills,4.0,MORTGAGE,47840.0,debt_consolidation,Loan,346xx,FL,19.58,0,Feb-1990,0,,,6,0,19307,93.7%,11,f,0,,INDIVIDUAL,0,1251.0,34190.0,False
3296134,4068482,16500,16500,548.99,B,B3,Hyatt Regency New Orleans,1.0,RENT,43000.0,debt_consolidation,Debt Consolidation Loan,701xx,LA,22.09,0,Oct-2005,2,,,8,0,1675,8.4%,17,w,0,,INDIVIDUAL,0,0.0,33508.0,False
3296110,4068454,21500,21500,660.13,A,A2,"ModCloth, Inc",1.0,RENT,85000.0,debt_consolidation,Debt Consolidation loan,946xx,CA,6.9,0,Mar-1997,0,,,7,0,15915,54.3%,18,f,0,,INDIVIDUAL,0,0.0,21907.0,False
3174880,3887036,10400,10400,346.03,B,B3,Intec,6.0,RENT,40000.0,credit_card,get out of a bind,982xx,WA,15.0,0,Feb-1997,0,,,7,0,3976,38.2%,10,w,0,,INDIVIDUAL,0,0.0,15211.0,False
3286019,4058367,21000,21000,468.41,B,B3,Safilo,4.0,MORTGAGE,100000.0,debt_consolidation,Consolidate Debt,074xx,NJ,16.44,0,Oct-1996,0,48.0,,7,0,38288,85.8%,15,f,0,,INDIVIDUAL,0,0.0,304721.0,False
3286090,4058455,8000,8000,269.98,B,B4,HP,10.0,RENT,101000.0,credit_card, Debt Free,950xx,CA,21.05,0,Oct-1996,0,,,14,0,28171,92.4%,34,w,0,,INDIVIDUAL,0,0.0,118062.0,False
3286103,4058470,3250,3250,111.22,B,B5,R&v management,6.0,RENT,35000.0,debt_consolidation,Low cc,921xx,CA,8.95,0,Mar-2001,0,,,8,0,8424,53%,12,f,0,,INDIVIDUAL,0,0.0,233559.0,True
3286053,4058408,8000,8000,273.78,B,B5,community one,1.0,RENT,25000.0,credit_card,pay credit cards,303xx,GA,18.54,0,Oct-2008,1,,,10,0,8761,41.7%,16,f,0,,INDIVIDUAL,0,0.0,15198.0,False
3285307,4057532,26000,26000,840.91,B,B1,Technica Corporation,2.0,RENT,181600.0,debt_consolidation,Credit Card Clear,220xx,VA,26.49,0,Jul-1996,0,36.0,,12,0,343269,70.1%,19,f,0,,INDIVIDUAL,0,0.0,434936.0,False
3286085,4058447,15000,15000,485.14,B,B1,USPS,6.0,MORTGAGE,47000.0,debt_consolidation,Down my Debt loan,597xx,MT,3.7,0,Nov-2000,1,,,8,0,8972,35.3%,21,w,0,,INDIVIDUAL,0,0.0,214579.0,False
3286063,4058419,10750,10750,362.78,B,B4,Corodata,10.0,RENT,32000.0,credit_card,Credit Card,921xx,CA,34.46,0,May-1968,0,,,8,0,35342,87.1%,18,f,0,,INDIVIDUAL,0,0.0,35342.0,False
3286065,4058421,16900,16900,526.63,A,A3,Martin County Schools,4.0,MORTGAGE,80000.0,debt_consolidation,Close credit cards ,349xx,FL,22.15,0,Sep-1973,3,,,14,0,36997,46.5%,54,f,0,,INDIVIDUAL,0,0.0,305690.0,False
3218697,3961389,6000,6000,196.84,B,B2,Union Bank N.A.,4.0,RENT,48000.0,debt_consolidation,Credit Cards Made Simple,906xx,CA,13.18,0,Feb-2005,0,,116.0,7,1,5021,24.1%,14,f,0,,INDIVIDUAL,0,524.0,24301.0,False
3286050,4058405,24000,24000,762.08,A,A5,"Hacker & Willig Inc., P.S.",1.0,RENT,97000.0,debt_consolidation,Debt consolidation,981xx,WA,24.82,0,Aug-2002,0,,,12,0,21821,74.9%,21,f,0,,INDIVIDUAL,0,0.0,119354.0,False
3296028,4068357,16000,16000,391.56,C,C4,UPMC Health Plan,2.0,OWN,82000.0,credit_card,Refinance Credit Debt,151xx,PA,18.57,0,May-1996,1,,,8,0,33020,99.2%,22,f,0,,INDIVIDUAL,0,0.0,150000.0,False
3286027,4058377,8875,8875,304.76,C,C1,University of Arkansas,2.0,RENT,26000.0,credit_card,FreeMyDebt,722xx,AR,24.18,0,Nov-1982,0,,,13,0,10314,63.7%,21,w,0,,INDIVIDUAL,0,0.0,43402.0,False
3296071,4068407,15000,15000,550.22,D,D4,united biologics,2.0,RENT,45000.0,wedding,wedding,282xx,NC,19.81,0,Oct-2000,1,56.0,,20,0,13148,38.2%,40,w,0,,INDIVIDUAL,0,1051.0,45093.0,False
3296026,4068355,21000,21000,639.15,A,A1,Starkey Mortgage LLP,2.0,MORTGAGE,80000.0,debt_consolidation,Debt Consolidation,750xx,TX,23.14,0,Nov-1999,1,,,11,0,27654,41.5%,37,f,0,,INDIVIDUAL,0,0.0,253456.0,False
3296062,4068398,1200,1200,42.08,C,C3,Canton Township,5.0,OWN,73000.0,debt_consolidation,Debt consolidation,481xx,MI,6.36,0,Oct-2003,1,,,7,0,14048,86.7%,9,f,0,,INDIVIDUAL,0,0.0,135731.0,True
2305525,2737741,21000,21000,666.82,A,A5,Salesforce.com,1.0,RENT,175000.0,credit_card,personal loan,947xx,CA,7.59,0,Apr-1998,0,27.0,,13,0,45082,52.7%,27,w,0,27.0,INDIVIDUAL,0,0.0,45082.0,False
3286029,4058379,18000,18000,598.89,B,B3,"Regency Community Services, Inc.",5.0,MORTGAGE,63000.0,debt_consolidation,Simplify,782xx,TX,17.57,0,Jan-1995,1,,,13,0,15702,41.6%,38,f,0,,INDIVIDUAL,0,0.0,147687.0,False
3286021,4058369,4000,4000,146.12,D,D3,Morton Plant Hospital,6.0,MORTGAGE,38000.0,home_improvement,Home Repair,337xx,FL,21.32,0,Sep-1993,2,,80.0,11,1,10004,84.8%,21,f,0,,INDIVIDUAL,0,0.0,112600.0,False
2835185,3417435,8500,8500,264.88,A,A3,The Adocate/Hearst News,5.0,MORTGAGE,53000.0,credit_card,CC refinance,066xx,CT,10.52,0,Aug-1988,1,,,13,0,19746,28.7%,19,w,0,,INDIVIDUAL,0,0.0,112238.0,False
3241124,3984059,13000,13000,432.54,B,B3,Southwest ISD,3.0,MORTGAGE,49966.0,debt_consolidation,debt control,782xx,TX,17.44,0,Dec-1994,0,,,8,0,9726,57.9%,18,f,0,,INDIVIDUAL,0,202.0,120076.0,False
3198040,3930968,20000,20000,608.72,A,A1,west texas a&m university,5.0,MORTGAGE,150000.0,credit_card,consolodation,790xx,TX,7.98,0,Aug-1992,0,,,9,0,17998,39.9%,27,f,0,,INDIVIDUAL,0,0.0,230748.0,False
3188257,3921251,16000,16000,387.4,C,C3,Antea Group,1.0,MORTGAGE,45000.0,debt_consolidation,Consolidation,465xx,IN,29.25,0,Nov-2003,1,,,15,0,19451,54.6%,28,f,0,,INDIVIDUAL,0,0.0,194506.0,False
3149307,3861780,16800,16800,449.7,E,E1,Financial Insitution,10.0,RENT,53000.0,debt_consolidation,Debt consolidation,980xx,WA,17.8,0,Sep-2002,0,,,6,0,14914,69.8%,10,w,0,,INDIVIDUAL,0,0.0,14914.0,False
3217450,3959977,24000,24000,736.89,A,A2,Oceans Healthcare,4.0,MORTGAGE,94000.0,credit_card,36 Month Credit Card Debt Free Plan,706xx,LA,15.98,0,Jan-1978,0,29.0,,17,0,24590,48.7%,40,f,0,,INDIVIDUAL,0,0.0,267327.0,False
3237601,3980136,35000,35000,946.87,E,E2,Ups,10.0,RENT,80000.0,credit_card,Lending loan,660xx,KS,17.25,1,Mar-2000,1,23.0,,11,0,15108,74.8%,25,f,0,23.0,INDIVIDUAL,0,0.0,41621.0,True
3285981,4058317,16000,16000,491.26,A,A2,NC State University,10.0,MORTGAGE,131000.0,debt_consolidation,Debt consolidation,276xx,NC,7.43,0,Dec-1987,1,,,14,0,16233,52.2%,38,w,0,,INDIVIDUAL,0,0.0,139560.0,False
3296009,4068335,15000,15000,513.33,B,B5,Mission of Iraq to the UN,5.0,RENT,48000.0,credit_card,pay my credit cards,113xx,NY,17.15,0,Feb-2008,1,,,11,0,16948,52%,17,f,0,,INDIVIDUAL,0,0.0,33801.0,False
